,name,duration,rating,review,sentimen
16,Merel Scheltema,2 months ago,5 stars,layak kunjung jangan percaya orang depan pintu masuk beri tahu pintu masuk tutup jadi tipu tempat indah area museum bagus selip rumah tanda tangan jelas jadi pasti lihat lihat hati hati pandu,1
17,onis't chan,a month ago,5 stars,alam luar biasa lihat tari tradisional kraton yogyakarta hadiningrat budaya,1
18,"Moch Faisal Karim, PhD",4 months ago,5 stars,gila sejarah rasa kraton jelas lebih banyak sejarah jawa sangat batas konten tampil perlu baik konten,1
19,Shahril Affandi Radzali,3 years ago,5 stars,kilas raja tua pulau jawa kraton pukau unjung arsitektur nilai sejarah tempat kunjung datang yogyakarta pertama kali ajar banyak sejarah,1
20,Hobi Gori,a month ago,5 stars,alam hebat budaya tradisional rasa waris tenang,1
21,pilo im,2 months ago,5 stars,nikmat lebih baik harap pandu bahasa inggris lucu senang tahu rahasia kisah keluarga raja indonesia sejarah sembunyi patut kunjung,1
22,Johanes Jenito,3 years ago,5 stars,tempat sangat bagus kunjung turis bagi besar tahu jawa sedia kraton tempat bagi sejarah indonesia bukan bagi kuat politik kraton ambil,1
23,Orchidahus Suhadihcro,a week ago,5 stars,bangun sangat bagus sempat temu sultan musisi tari tampil lama kunjung layak lihat,1
24,Timothé Paris,3 years ago,5 stars,kraton museum bagus tiket masuk ribu rupiah,1
25,Hendry Dwi,2 weeks ago,5 stars,alam bagus tahu sejarah kraton yogyakarta hadiningrat,1
26,Endang's Art Cave,4 years ago,5 stars,pasuk kompleks kraton bawa langsung jawa tempo dulu kompleks indah milik banyak koleksi lihat unjung museum unik raja ratu tinggal,1
27,Fransiska Astuti,3 years ago,5 stars,simbol kota yogyakarta rumah sultan yogyakarta kraton kenal pusat kuasa yogyakarta seluruh rakyat yogyakarta turut kata kata sultan bahkan bukan orang otoriter,1
28,Desi Oktavianika,a year ago,5 stars,museum sangat bagus kunjung ada yogyakarta cari museum tempat sejarah unjung kraton yogyakarta banyak tiga kali kompleks rupa pusat budaya jawa isi museum pajang artefak raja,1
29,Ridho Dwi Mardiyanto,a year ago,5 stars,kawasan kraton kraton yogyakarta buka umum tiket masuk domestik rupiah internasional rupiah tempat simpan banyak sejarah kraton yogyakarta sangat rekomendasi wisatawan kunjung yogyakarta,1
30,Gerald Mamengko,3 years ago,5 stars,libur desember kemarin kunjung kraton yogyakarta sangat senang tunjuk budaya kota kota milik banyak tunjuk seni betul sekali modal ribu rupiah turis domestik semua,0
31,Fanny syariful alam,a year ago,5 stars,landmark klasik yogyakarta pernah ubah meski kota kembang modernisasi nilai nilai tradisional tetap entah sulit temu tengah kembang masif,1
32,El Brayan Mero,a year ago,5 stars,tempat tarik sejarah luar biasa suka foto foto barang barang sultan masa lalu pandu wisata wanita cantik hebat,1
33,Sahalas,a year ago,5 stars,kraton guna sultan buka umum museum banyak sri sultan hamengkubuwono ix pernah baca biografi raja rendah hati patriot indonesia bawa anak anak sini ajar patriotisme,1
34,Hazel Nadine,3 years ago,5 stars,jadi tempat tinggal sultan lihat seluruh kompleks kraton biaya masuk sangat murah bahkan orang asing biaya masuk sedikit lebih tinggi biaya foto jangan khawatir,1
35,Aldarlingdear,11 months ago,5 stars,jangan ulang jangan percaya orang kata kraton penuh arah balai biaya masuk gratis senyum sikeras periksa sendiri malu borobudur rupiah,1
36,Yuninda Santhi Hendrian,a year ago,5 stars,suka tempat sejarah pergi sini harga tiket masuk rupiah bagi dapat museum tempat sendiri generasi sultan yogyakarta,1
37,白杉,9 months ago,5 stars,tunjuk tari transisi akhir pekan pukul suka warna raja,1
38,Aryeh Sternberg,4 years ago,5 stars,pandang tarik sejarah unik sultan sejarah rakyat yogyakarta kraton lihat tinggal kota pasang baik jalan kraton air sama,1
39,Naura Fadhilah Khairunnisa,5 months ago,5 stars,kraton indah damai,1
40,An Aria,4 years ago,5 stars,tempat bagus biaya kira kira kurang rupiah bayar rupiah terang rupiah tiket masuk rupiah izin potret beli semua orang foto,1
41,Ria Susanti,2 months ago,5 stars,alam bagus lancong solo,1
42,Agung Bowo Laksono,3 years ago,5 stars,unjung tempat beberapa kali pernah bosan utama unjung sama keluarga dapat pandu lokal baik kraton sendiri pandu tahu semua sejarah kraton simbol simbol mana mana,1
43,Arini Zulfa,2 months ago,5 stars,tempat indah pandu bagus,1
44,Michel te Dorsthorst,5 months ago,5 stars,kraton indah banyak sejarah rekomendasi unjung,1
45,Faza Fawzan Bastarianto,3 years ago,5 stars,sangat suka tempat museum raja hidup era modern kompleks kraton milik museum tampil artefak raja tampil tari tradisional jawa hari hari tentu,1
46,Nur Anisah,4 years ago,5 stars,konstruksi sangat artistik harga dapat lebih banyak tahu sejarah kraton guna pandu tiket masuk tambah izin foto domestik,1
47,joey “Joey 006” R,4 years ago,5 stars,ada tempat acara besar yogyakarta duduk lokal datang nikmat malam festival festival drama lama tradisi makan sangat bagus ajar lebih banyak baru budaya nikmat baik yogyakarta malam hari,1
48,Imam Rustadi,5 months ago,5 stars,tinggal agung raja jawa sekarang,1
49,Gita Indriani Syafitri,3 years ago,5 stars,jalan budaya sama anak anak sini senang tonton tari tradisional hari kamis minggu jelas pandu sangat jelas,1
50,naufal faiz,3 years ago,5 stars,kraton kaya nilai sejarah kota sejarah butuh jelas tempat kraton banyak pandu sedia jasa antar unjung yogyakarta kunjung sini,1
51,Emiel Allefs,4 years ago,5 stars,kraton sultan bagus pandu lokal tahu segala sultan kraton banyak upacara artefak main bayang langsung,1
52,Dominik Heinzlmayer,4 months ago,5 stars,kraton yogyakarta sangat bagus lihat baca sejarah jawa yogyakarta milik dokumen lama tulis bahasa jawa semua mobil tua gerbong sultan bagus sekali tinggal kraton,0
53,dhimas baskoro,4 years ago,5 stars,situs jadi saksi sejarah bangga warga yogyakarta bangun tua mungkin perlu beberapa renovasi mungkin nuansa jaya masa lalu tampil bangun taman jaga betul ada yogyakarta kunjung tempat sila padan,1
54,Yustiana E,5 months ago,5 stars,kunjung yogya jangan lupa lihat kraton yogyakarta untung lihat tunjuk gamelan tari kraton,1
55,Erny Ludvyani Sumantri,5 years ago,5 stars,tempat sejarah yogyakarta lewat ini pusat sejarah yogyakarta banyak benda sejarah benda budaya sini kraton yogyakarta rupa salah satu kraton guna raja tempat jauh,1
56,Budi AMDG,4 months ago,5 stars,salah satu tempat paling penting kunjung yogyakarta sangat nikmat tunjuk tari pendopo tiket rupiah pax domestik masuk tour pandu,1
57,Joglowebs. Com,4 years ago,5 stars,susur kraton fungsi tempat tinggal raja keluarga jadi alam senang sarat ilmu kompleks kraton yogyakarta bagi jadi bagi bagi kunjung,1
58,Restu Mustaqim,5 years ago,5 stars,tempat sangat takjub tenang angin tempat bagus lihat waris yogyakarta lebih baik unjung jam buka banyak kelompok siswa datang kunjung,1
59,Ferro B.,4 years ago,5 stars,suka tempat cinta kisah sejarah balik koleksi harga tiket rupiah orang wisatawan mancanegara rupiah orang wisatawan domestik kamera kena biaya rupiah kamera kamera ponsel semua,1
60,Henra Saragih,5 years ago,5 stars,tempat wajib kunjung libur yogyakarta waktu baik kunjung pagi hari hari kerja harap kena pakai sesuai kaos celana pendek bawah lutut cukup banyak,1
61,Khun C,3 years ago,5 stars,koleksi besar harta keluarga hamangkebowo beberapa bagi kraton sultan sedang pugar patut kunjung lihat kraton raja raja jawa,1
62,Sisilia Deb,4 years ago,5 stars,temu beberapa informasi kraton yogyakarta sini jadi lebih baik sewa pandu tahu kraton yogyakarta cerita sejarah,1
63,robbie drex,a year ago,5 stars,empat kraton sederhana bagus sejarah sangat tarik suatu harus cinta budaya unjung yogya,1
64,Agustian Al-Faruq,2 years ago,5 stars,tempat sangat bagus kenal yogyakarta sejarah milik banyak sewa pandu jelas semua,1
65,Yosepha Rini,2 years ago,5 stars,kraton jawa megah ikon yogyakarta bangun waris nilai moral koleksi semua bagus ajar banyak sejarah khusus budaya jawa sini tiket cukup murah hingga,1
66,Doni Laksono,8 months ago,5 stars,harta nasional sangat otentik masa lalu sultan yogyakarta,1
67,agus makkie,2 years ago,5 stars,pasuk taman main keluarga mana ajar sejarah budaya seni kuliner,1
68,Nuna Noona,2 years ago,5 stars,kraton yogyakarta tempat besar luas cerita sejarah takjub lebih baik dapat pandu tur dengar banyak cerita luar biasa,1
69,kimberlly grace,11 months ago,5 stars,penting kraton tutup jam siang rekomendasi ambil becak jajah kraton beberapa tempat wisata sekitar rupiah dapat transportasi orang orang pandu wisata orang fotografer sopir becak sangat hebat ambil foto bagus tip supir becak puas layan,1
70,Maryah Ulfah,2 years ago,5 stars,salah satu ikon yogyakarta kunjung kraton sebut kraton yogyakarta tempat tinggal utama sultan keluarga,1
71,T-Drivers Social Golf Club Indonesia,4 years ago,5 stars,lokasi indah tepat jantung kota yogyakarta ajar semua sejarah dalam sultan kerabat jawa masuk akses kraton utama bangun bangun kecil dekat lihat foto item kumpul,1
72,Radja Sitanggang,4 years ago,5 stars,salah satu situs sejarah yogyakarta baik tahu sejarah indonesia pandu wisata sangat bantu jelas detail sangat harga lama kunjung beberapa area sedang baik tiket masuk sangat murah seluruh layan baik staf ramah,1
73,Rian Kusuma Dewi,3 years ago,5 stars,salah satu wishlist beri perspektif kraton tunjuk tradisional hari jam pagi jangan tinggal,1
74,Isna Firdasari,2 years ago,5 stars,tempat bagus tahu sultan koleksi banyak sultan hamengkubuono ix pandu wisata sangat bantu protokol covid bagus,1
75,Woeragil Nur Isnaeny,4 years ago,5 stars,harga tiket murah domestik asing jajah kraton yogyakarta lihat tunjuk reguler masuk sini tarik tunjuk boneka sila datang sini hari sabtu,1
76,Siera Yankee,4 years ago,5 stars,tempat bagus tahu budaya indonesia khusus jawa tengah coba datang jam pagi saksi tunjuk tradisional gamelan tari tradisional,1
77,angga maulana Akbar,4 years ago,5 stars,tempat sangat kaya sejarah yogyakarta lihat semua gambar foto hamengkubawana mobil mobil tunggang hamengkubuwana foto foto giat kraton masa lalu banyak sangat senang ada sana,1
78,Yanuarisa Ramadhanti,4 years ago,5 stars,unjung tempat hari sabtu sempat tonton tunjuk wayang gratis biaya tambah tiket masuk tiket masuk rupiah masuk izin foto tempat sangat bersih orang orang rendah hati temu wanita buat batik tulis dalam bahkan beli batik dalam,1
79,Natasha Angeline,4 years ago,5 stars,salah satu teman inggris kata kraton buat pikir raja sesuai anggar aku bukan jenis kraton paling megah lincah milik estetika sendiri tari kostum fakta banyak,1
80,Desy Prima,4 years ago,5 stars,kraton sejarah ajar banyak yogyakarta gedung dapat banyak informasi museum diorama manekin jangan lupa minta pandu tani kunjung kraton jelas banyak penting bangun pohon,1
81,Hardy Wiratama,4 years ago,5 stars,tahun sekali saksi tari cipta raja kraton yogyakarta tari tunjuk kenang tanggal naik tahtanya raja kraton yogyakarta,0
82,Viki Stevan Nurdianto,5 years ago,5 stars,tempat tempat baik ajar lebih banyak budaya filosofi jawa saran mes pandu wisata jelas semua sejarah keluarga raja,1
83,soni ariyanto,5 years ago,5 stars,epik lihat rasa sensasi kraton jawa main ruang buka depan kraton sebut alun alun makan makan jalan jawa sini,1
84,Richo Wirawan,5 years ago,5 stars,kompleks paling royal pernah kunjung kompleks lestari tinggal sultan keluarga diri banyak bangun milik fungsi masing masing tiket murah biaya tambah,1
85,Steve Kristianto,5 months ago,5 stars,waris budaya dedikasi royals tur pandu pintu masuk makan waktu jam harap lebih kereta raja gambar sejarah,1
86,Amalia Arisandi (aMeL),4 years ago,5 stars,lebih baik datang paling lambat waktu makan siang maksimal jelajah banyak cerita budaya tarik ungkap,1
87,Harry Prenditi,5 years ago,5 stars,kraton yogyakarta tempat mana benar benar rasa budaya jawa klasik pagi hari sering nikmat tari tradisional iring gamelan orkestra gendang indonesia kemudian museum,1
88,Daniel Alexander,3 years ago,5 stars,tempat sejarah yogyakarta perlu beberapa baik beberapa tampil museum kereta favorit seram,1
89,Indri Septiana,3 years ago,5 stars,baik tuju wisata maupun didik ajar sejarah budaya jawa,1
90,Nana Rdn,4 years ago,5 stars,kraton yogyakarta hadiningrat bahasa indonesia kraton yogyakarta hadiningrat salah satu tempat sejarah jawa tengah kenal alat musik gamelan tunjuk tari tradisional tunjuk wayang,1
91,Aditya Karnawiredja,4 years ago,5 stars,the kraton yogyakarta hadiningrat indonesian kraton yogyakarta hadiningrat javanese is a palace complex in the city of yogyakarta yogyakarta special region indonesia it is the seat of the reigning,1
92,Panji Nurdyanto,4 years ago,5 stars,kraton yogyakarta hadiningrat buah kraton sultan yogyakarta hadiningrat letak kota yogyakarta daerah istimewa yogyakarta indonesia kompleks bangun kraton rupa rangkai utama sultan masa kini,1
93,Rachmat Khaerudin,5 years ago,5 stars,wisata tepat kenal budaya yogyakarta damping pandu ramah susana tempat nyaman jadi kraton yogyakarta salah satu wisata budaya sangat rekomendasi,1
94,mutma inah,5 years ago,5 stars,bayar rupiah per orang banyak budaya indonesia sini moga jalan senang,1
95,Sara RoBin,11 months ago,5 stars,sangat tarik ajar banyak sejarah raja yogyakarta,1
96,Morgan Healey,4 months ago,5 stars,kraton sangat indah budaya rekomendasi pergi hari senin selasa mana main gamelan drum lokal jam pagi,1
97,Cahayafotostudio Photography,a month ago,5 stars,tempat bagus lihat nikmat,1
98,Eric Andrade,7 months ago,5 stars,sangat bersih junjung tinggi tradisi jawa,1
99,Charulata,6 months ago,5 stars,kraton museum masuk rupiah per orang museum milik beberapa karya foto bagus jelas bahasa inggris pandu sedia ajak keliling beri sumbang sesuai pilih baik tunjuk jam pagi,1
100,SAM,a year ago,5 stars,tempat sejarah kraton takjub yogyakarta kunjung ada yogyakarta,1
101,Selvi Anggrainy,2 years ago,5 stars,informasi sangat wawas tahu pertama kali unjung kraton minta pandu ikut bayar nila sen,1
102,Parita Patel,3 years ago,5 stars,kraton sangat indah pasti milik macam peta sesat dalam,1
103,HANSUB LIM (World traveller),2 years ago,5 stars,tempat sangat damai datang yogyakarta unjung,1
104,Stewart,5 months ago,5 stars,tempat sangat bagus yogyakarta suka dekorasi sana sangat anjur tempat sejarah keluarga raja wilayah,1
105,Tedwin Tansan,4 years ago,5 stars,sini kenal hidup keluarga kraton saksi tempat presiden soekarno resmi kraton beberapa spot kunjung baik,1
106,Miquel Louis Setiadi,6 months ago,5 stars,kraton yogyakarta bangun tahun pangeran mangkubumi bangun kraton bentang utara selatan sisi depan utara temu alun alun sebut plaza utara halaman belakang sebut alun alun selatan,1
107,Elok Dwi Nurwanto,4 years ago,5 stars,tempat tepat kenal sejarah jawa langsung tengah kota solo sekitar kraton jalan malioboro kenal banyak tempat wisata budaya jawa yogyakarta,1
108,Telor Busux,4 years ago,5 stars,tempat sejarah yogyakarta utama perintah budaya pimpin generasi sri sultan tiket tempat murah worth it padahal perlu bayar rupiah domestik tahu sejarah yogyakarta,1
109,Reynaldi Elica Kenrick,4 years ago,5 stars,tiket masuk memang rupiah punya teman ayah asal kraton jadi bebas masuk kraton wkwkw,1
110,Adityo Trimurdani,4 years ago,5 stars,jalan waktu abad banyak abdi dalem tugas sini,1
111,Andy Subagio,4 years ago,5 stars,sekali sholat mesjid gedhe kaum tempat kenal yogyakarta dekat kraton yogyakarta kraton cukup tenang sejuk bahkan cuaca hangat bahkan panas sana,0
112,siska oktaviani,3 years ago,5 stars,nikmat tunjuk boneka pintu masuk lebih baik datang pagi kraton tutup jam siang,1
113,Shifatul Husna,4 years ago,5 stars,unjung tempat minta pandu jelas kisah kraton lebih senang milik pandu samping,1
114,Nobrya Husni,4 years ago,5 stars,diam raja hamengkubuwono x gubernur yogyakarta cinta asli bahkan layan guna sendal sepatu dulu,1
115,Yurham Afif,4 years ago,5 stars,tempat sejarah penuh barang antik budaya tunjuk gamelan tari tradisional jawa jam pagi sewa pandu wisata bahasa indonesia inggris,1
116,yusuf kurniawan,5 years ago,5 stars,kunjung baik hari minggu lihat latih tari jawa main musik gamelan lengkap sinden nyanyi,1
117,gracia leona,5 years ago,5 stars,dapat apa apa dapat pandu wisata sangat murah alam hebat cinta benda budaya,1
118,Kanal Reviu dan Gagasan,3 years ago,5 stars,festival sekaten sangat luar biasa konsep tradisi konsep komersial lama puluh tahun buat rindu sebut tinggal hari,1
119,stevitri sarasti,4 years ago,5 stars,budaya kaya tahu saran dapat pandu sebut abdi dalem beri tahu semua detail kagum meski orang indonesia,1
120,Rama Aryo,5 years ago,5 stars,bayang semua sultan agung perintah tempat,1
121,gia patriadi,3 weeks ago,5 stars,kraton sejarah tanah jawa,1
122,Susie Ncuss,5 years ago,5 stars,baru pertama kali unjung tempat pasti minta pandu tani jalan pandu jelas segala kraton sri sultan hamengkubuwono ix,1
123,Didik Zulfahmi Akbar,2 years ago,5 stars,suka tempat kraton yogyakarta sangat kenal waris internasional bangun milik fungsi beda sebar energi positif tinggal,1
124,Satwika Santi,9 months ago,5 stars,ramah abdi dalem lingkung inspirasi,1
125,Mike Staton,6 months ago,5 stars,a lihat yogyakarta sejarah hebat pandu wisata sangat tahu banyak peluang foto bagus sangat anjur,1
126,jimmy sallan,5 years ago,5 stars,tempat kunjung ada yogyakarta meski bukan kunjung pertama saran pasuk kraton pintu gerbang selatan jajah bagi kraton,1
127,Rita,5 years ago,5 stars,tempat bagus tahu kraton yogyakarta tiket cukup murah baik orang lokal maupun orang asing ambil pandu beri tahu lebih banyak tempat sangat bantu senang unjung tempat,1
128,Glenn Main-Main,5 years ago,5 stars,salah satu kraton sejarah paling kenal indonesia salah satu tuju wisata utama yogyakarta tempat sangat besar dapat pandu wisata cerita banyak sejarah detail kraton sini,1
129,Annisa Giofani,3 years ago,5 stars,tempat sangat tepat kunjung kenal kenal kota besar yogyakarta tiket masuk jangkau suasana teduh buat betah ada sini,1
130,Lilik Ekowati,5 years ago,5 stars,rumah adat sultan yogyakarta tempat budaya tradisional ajar budaya jawa,1
131,nadiyah humayra,3 years ago,5 stars,kompleks bangun kraton rupa tempat duduk utama sultan masa kini lestari tradisi raja kraton rupa salah satu tuju wisata kota yogyakarta,1
132,Rosa DP,3 years ago,5 stars,tempat tua bagus kunjung ada yogyakarta tahu lebih banyak hidup orang sultan masa lalu,1
133,Agung Irawan Marta Lingga,4 years ago,5 stars,tempat ikonik yogyakarta selalu datang sini bulan suka upacara sejarah kraton yogyakarta selalu ajak keluarga teman teman kunjung yogyakarta tempat nikmat tari tradisional hari minggu pukul pagi malam sewa pandu wisata bayar sesuai ingin,1
134,Irwan Saputra,3 years ago,5 stars,tempat sangat cinta lihat sini sini dukung beberapa foto bantu,1
135,Dian Prakoso,4 years ago,5 stars,selam kaya waris budaya jawa ikut tur pandu kraton mungkin megah versaille kunjung kraton sederhana beri wawas masyarakat feodal hierarkis khas jawa,1
136,Yudi Rahmatullah,4 years ago,5 stars,salah satu tuju wisata favorit yogyakarta tempat sangat takjub perlu waktu lebih lama unjung kraton sangat besar arsitektur bagus gaya budaya jawa,1
137,Tommy Efrata,9 months ago,5 stars,tiket sangat jangkau masuk pandu wisata profesional kraton sedia banyak pamer tematik salah satu wisata edukasi sejarah baik indonesia,1
138,Remilia Scarlet,4 months ago,5 stars,unjung lihat banyak barang sejarah sini orang,1
139,Barlin Fu'ad Noor,4 years ago,5 stars,salah satu didik budaya anak anak selamat kenal sejarah kraton yogyakarta bagai mana dukung negara indonesia nkri bangga milik,1
140,Krisna Mahadiputra,3 years ago,5 stars,tempat kraton indah isi cerita atribut sultan hamengkobuwono ix,1
141,Akshay Sinha,4 years ago,5 stars,kraton indah tengah kota tur jam mudah lihat barang antik indah kraton tunjuk sangat didik indah hari musik tari sedia gratis tiket cukup atur kunjung dengan,1
142,sumaryanti summa,4 years ago,5 stars,kraton sultan tempat khusus milik presiden milik orang raja beda buat satu beda,1
143,Gian Arfansyah,4 years ago,5 stars,lebih baik guna pandu jajah tempat menit informasi pandu brosur cukup pada,1
144,Achmad Ridhony,4 years ago,5 stars,alam sangat tarik rasa budaya baik indonesia bangga jadi orang indonesia,1
145,Khairul Anwar,3 years ago,5 stars,museum hidup tempat semua tradisi regal tetap hidup detail sangat indah area awat baik saran milik abdi dalem kostum jawa pandu kisah megah royals,1
146,Rini Yanti,5 years ago,5 stars,kraton yogyakarta waris nasional sultan yogyakarta lihat banyak masa lalu pakai raja sultan keluarga kereta perang,1
147,Bagas Arya,3 years ago,5 stars,kraton yogyakartadiningrat manusia raja jawa kuno hidup budaya jawa banyak jawa,1
148,Riska Amelia,3 years ago,5 stars,tunjuk tari kraton hari minggu jadi atraksi wajib saksi yogyakarta,1
149,Diana Rani,3 years ago,5 stars,tempat bagus ajar sejarah yogyakarta kaya budaya tunjuk gong sangat tenang,1
150,AHLEN Pangandaran,5 years ago,5 stars,tur sejarah luar biasa suka sejarah lama yogyakarta pandu baik bicara bahasa inggris,1
151,Sigid Wahyudi,9 months ago,5 stars,apa tempat indah,1
152,Transport Jogja,3 weeks ago,5 stars,tempat bagus unjung ajar budaya jawa,1
153,Indah YeIn,4 years ago,5 stars,sini tahu lebih banyak bagaimana hidup keluarga raja masuk orang pulang bawa apa apa saran guna pandu wisata beri tahu semua sejarah takjub mungkin pernah dengar belum tiket masuk cukup bayar per orang per kamera,1
154,Everton Christie,a month ago,5 stars,nikmat kraton hubung lingkung,1
155,Susan Litaay,3 years ago,5 stars,kraton bagus ajar sejarah pernah bosan sini nikmat datang sini,1
156,Natano Glori,4 years ago,5 stars,tempat tuju wisata hampir semua kelola baik dagang kaki lima luar kraton terlalu ramai beranta,0
157,Khoironi Damarjati,4 years ago,5 stars,kraton raja raja yogyakarta banyak tempat tema kuno raja kunjung banyak barang sejarah budaya ajar sejarah raja yogyakarta ambil banyak foto bagus sini murah tiket rupiah turis lokal,1
158,Dyah Didy,4 years ago,5 stars,kraton yogyakarta rupa tempat sangat mulia khusus warga yogyakarta tiang tiang tinggi besar cerita semua kenang saksi sejak beberapa abad lalu jangan lewat datang sini unjung yogyakarta bukti,1
159,deny,a month ago,5 stars,kraton sejarah budaya tradisional yogyakarta luar biasa,1
160,Peter Whiles,4 years ago,5 stars,layak kunjung milik alam hebat sana,1
161,sikelinci merahjambu,5 years ago,5 stars,jogjakarta tante kunjung yogyakarta rasa semangat jawa sini,1
162,Media Belajar Kita,a year ago,5 stars,benteng sejarah yogyakarta banyak tradisi gamelan tari,1
163,Tri,4 years ago,5 stars,orang orang ramah banyak spot kunjung orang,1
164,Galuh M. S.,4 years ago,5 stars,budaya otentik kota yogyakarta mistis indah adab identitas yogyakarta indonesia,1
165,Degtyarev Artamonov,4 months ago,5 stars,suka tempat banyak cerita cerita sini,1
166,Duke Nukem,4 years ago,5 stars,simbol sultan daerah istimewa yogyakarta pikir benteng akhir budaya jawa tradisional yogyakarta,1
167,Lily W,4 years ago,5 stars,sangat sejarah milik pandu wisata jelas info sejarah,1
168,Juliarty Masson,4 years ago,5 stars,beberapa kali unjung kraton yogyakarta yogyakarta selalu temu tarik informasi baru wisata kraton jadi prioritas utama kunjung yogyakarta,1
169,dionisius aditya,6 months ago,5 stars,sangat suka pandu jelas jelas jawab tanya sayang kamu mama,1
170,Leighton James,4 months ago,5 stars,museum bagus banyak sempat foto,1
171,Fictor Vincentius Pabeta,2 years ago,5 stars,suka tempat kenal sejarah jogja,1
172,Ria Eka Rachmawati,3 years ago,5 stars,museum kraton sederhana penuh situs tradisional banyak gambar abadi kraton tua tradisi raja yogyakarta,1
173,vita subiyakti,4 years ago,5 stars,tunjuk tari hari minggu datang temu tempat baik lihat,1
174,Dhiraphong Srifuengfung,4 years ago,5 stars,tempat bagus kunjung jangan lewat,1
175,Ayu Nadia Charissa,3 years ago,5 stars,tempat bagus yogyakarta sangat rekomendasi turis,1
176,Trysa Suganda,a year ago,5 stars,tempat bagus tempat sangat tarik,1
177,Primadhana Astara,4 years ago,5 stars,salah satu tempat sejarah yogyakarta kraton sultan yogyakarta bagus siapa tahu lebih banyak sejarah yogyakarta kawasan dapat museum andong taman sari,1
178,Steve Thomas,5 years ago,5 stars,harga masuk sangat sangat masuk akal banyak lihat sangat harga betul ada sini lama latih tunjuk,1
179,Nina,2 years ago,5 stars,cinta pamer senang puas kraton sering ada,1
180,SUNARTO SUPARNO,4 years ago,5 stars,sangat senang kali,1
181,Ekmal Muhammad,4 years ago,5 stars,kraton yogyakarta kraton milik suasana nyaman sendiri dengar suara gamelan tonton tari tradisional mocopat tampil nyanyi jawa,1
182,Galih P,5 years ago,5 stars,tempat bagus ajar sejarah yogyakarta tampil tari tradisional hari minggu pukul,1
183,Ekawati Fauzi,3 years ago,5 stars,kraton sejarah arsitektur sangat indah,1
184,Asppehorti NKRI,3 years ago,5 stars,tempat sejarah buah kraton besar salah satu dinasti raja besar indonesia kratonku sultan raja,1
185,alvin stark,5 years ago,5 stars,alangkah indah masuk dalam lihat tempat giat raja sultan hamengkubuwono,1
186,In Syah,5 years ago,5 stars,suasana mistis sayang lihat kurang awat sisi belakang,1
187,donna winona,a week ago,5 stars,cinta waris orang orang sana,1
